event_id,stock_code,stock_name,from_year,to_year,year_gap,is_consecutive_pair,from_doc_id,to_doc_id,dividend_delta,ocf_delta_cny,profit_delta_cny,risk_score_delta,base_attention_score_delta,final_attention_score_delta,cross_year_pressure_score,event_type,review_reason
000031_2020_2023,000031,大悦城,2020,2023,3,False,1209464144,1219863705,0.0,827423268.64,-1078561161.54,-34.46,-8.62,-5.62,15.0,baseline,profit turns or remains negative
000031_2020_2024,000031,大悦城,2020,2024,4,False,1209464144,1223153545,0.0,-3196786998.61,-2589950761.78,-20.34,-5.09,0.91,15.0,baseline,profit turns or remains negative
000031_2021_2022,000031,大悦城,2021,2022,1,True,1212886659,1216587088,0.0,11174583411.22,-2990280135.96,0.0,-9.5,-3.5,30.0,baseline,profit turns or remains negative
000031_2021_2023,000031,大悦城,2021,2023,2,False,1212886659,1219863705,0.0,19105665467.51,-1572904910.52,-4.52,-10.63,-7.63,15.0,baseline,profit turns or remains negative
000031_2021_2024,000031,大悦城,2021,2024,3,False,1212886659,1223153545,0.0,15081455200.26,-3084294510.76,9.6,-7.1,-1.1,15.0,baseline,profit turns or remains negative
000031_2022_2023,000031,大悦城,2022,2023,1,True,1216587088,1219863705,0.0,7931082056.29,1417375225.44,-4.52,-1.13,-4.13,0.0,baseline,cross-year baseline comparison
000031_2022_2024,000031,大悦城,2022,2024,2,False,1216587088,1223153545,0.0,3906871789.04,-94014374.8,9.6,2.4,2.4,15.0,baseline,profit turns or remains negative
000031_2023_2024,000031,大悦城,2023,2024,1,True,1219863705,1223153545,0.0,-4024210267.25,-1511389600.24,14.12,3.53,6.53,30.0,baseline,profit turns or remains negative
000042_2020_2021,000042,中洲控股,2020,2021,1,True,1209676546,1212898226,-0.18,-1083821657.99,-75421322.7,-12.99,3.17,9.17,30.0,dividend_with_profit_decline,profit declines while dividend remains
000042_2020_2022,000042,中洲控股,2020,2022,2,False,1209676546,1216380219,-0.38,-248922660.64,-201687362.0,-6.21,1.17,7.17,15.0,dividend_with_profit_decline,profit declines while dividend remains
000042_2020_2023,000042,中洲控股,2020,2023,3,False,1209676546,1219769062,-0.5,-1092520085.3,-96867820.66,-1.69,4.08,4.08,0.0,baseline,cross-year baseline comparison
000042_2020_2024,000042,中洲控股,2020,2024,4,False,1209676546,1223544393,-0.5,4428519673.45,-2306054128.05,-3.95,9.01,15.01,15.0,baseline,profit turns or remains negative
000042_2021_2022,000042,中洲控股,2021,2022,1,True,1212898226,1216380219,-0.2,834898997.35,-126266039.3,6.78,-2.0,-2.0,30.0,dividend_with_profit_decline,profit declines while dividend remains
000042_2021_2023,000042,中洲控股,2021,2023,2,False,1212898226,1219769062,-0.32,-8698427.31,-21446497.96,11.3,0.91,-5.09,0.0,baseline,cross-year baseline comparison
000042_2021_2024,000042,中洲控股,2021,2024,3,False,1212898226,1223544393,-0.32,5512341331.44,-2230632805.35,9.04,5.84,5.84,15.0,baseline,profit turns or remains negative
000042_2022_2023,000042,中洲控股,2022,2023,1,True,1216380219,1219769062,-0.12,-843597424.66,104819541.34,4.52,2.91,-3.09,0.0,baseline,cross-year baseline comparison
000042_2022_2024,000042,中洲控股,2022,2024,2,False,1216380219,1223544393,-0.12,4677442334.09,-2104366766.05,2.26,7.84,7.84,15.0,baseline,profit turns or remains negative
000042_2023_2024,000042,中洲控股,2023,2024,1,True,1219769062,1223544393,0.0,5521039758.75,-2209186307.39,-2.26,4.93,10.93,30.0,baseline,profit turns or remains negative
000069_2020_2021,000069,华侨城A,2020,2021,1,True,1209477137,1212757289,-3.0,-1980702789.52,-8886245895.97,1.7,-17.58,-11.58,30.0,dividend_with_profit_decline,profit declines while dividend remains
000069_2020_2022,000069,华侨城A,2020,2022,2,False,1209477137,1216276910,-4.0,-21793259207.92,-23590763521.42,30.51,24.12,43.12,63.75,risk_score_jump;attention_score_jump;high_cross_year_pressure,cross-year liquidity-risk score jumps; cross-year base attention score jumps; profit turns or remains negative
000069_2020_2023,000069,华侨城A,2020,2023,3,False,1209477137,1219488813,-4.0,-17796077318.67,-19177800260.84,-2.82,0.79,6.04,15.0,baseline,profit turns or remains negative
000069_2020_2024,000069,华侨城A,2020,2024,4,False,1209477137,1222949848,-4.0,-15856401009.04,-21347657908.54,0.0,1.5,7.5,15.0,baseline,profit turns or remains negative
000069_2021_2022,000069,华侨城A,2021,2022,1,True,1212757289,1216276910,-1.0,-19812556418.4,-14704517625.45,28.81,41.7,54.7,95.0,risk_score_jump;attention_score_jump;high_cross_year_pressure,cross-year liquidity-risk score jumps; cross-year base attention score jumps; profit turns or remains negative
000069_2021_2023,000069,华侨城A,2021,2023,2,False,1212757289,1219488813,-1.0,-15815374529.15,-10291554364.87,-4.52,18.37,17.62,26.25,baseline,cross-year base attention score rises; profit turns or remains negative
000069_2021_2024,000069,华侨城A,2021,2024,3,False,1212757289,1222949848,-1.0,-13875698219.52,-12461412012.57,-1.7,19.08,19.08,26.25,baseline,cross-year base attention score rises; profit turns or remains negative
000069_2022_2023,000069,华侨城A,2022,2023,1,True,1216276910,1219488813,0.0,3997181889.25,4412963260.58,-33.33,-23.33,-37.08,0.0,baseline,cross-year baseline comparison
000069_2022_2024,000069,华侨城A,2022,2024,2,False,1216276910,1222949848,0.0,5936858198.88,2243105612.88,-30.51,-22.62,-35.62,0.0,baseline,cross-year baseline comparison
000069_2023_2024,000069,华侨城A,2023,2024,1,True,1219488813,1222949848,0.0,1939676309.63,-2169857647.7,2.82,0.71,1.46,30.0,baseline,profit turns or remains negative
000514_2020_2021,000514,渝开发,2020,2021,1,True,1209452441,1212688336,-0.05,1876229752.8,28579952.91,-11.86,-25.77,-25.77,0.0,baseline,cross-year baseline comparison
000514_2020_2022,000514,渝开发,2020,2022,2,False,1209452441,1216221769,-0.05,2747100065.71,29248787.2,-11.3,-25.62,-25.62,0.0,baseline,cross-year baseline comparison
000514_2020_2023,000514,渝开发,2020,2023,3,False,1209452441,1219824168,-0.13,1605230197.25,-27809764.1,-14.12,-26.81,-20.81,15.0,dividend_with_profit_decline,profit declines while dividend remains
000514_2020_2024,000514,渝开发,2020,2024,4,False,1209452441,1223243787,-0.25,1615655763.47,-247424088.39,-14.12,-14.53,-5.53,15.0,baseline,profit turns or remains negative
000514_2021_2022,000514,渝开发,2021,2022,1,True,1212688336,1216221769,0.0,870870312.91,668834.29,0.56,0.15,0.15,0.0,baseline,cross-year baseline comparison
000514_2021_2023,000514,渝开发,2021,2023,2,False,1212688336,1219824168,-0.08,-270999555.55,-56389717.01,-2.26,-1.04,4.96,15.0,dividend_with_profit_decline,profit declines while dividend remains
000514_2021_2024,000514,渝开发,2021,2024,3,False,1212688336,1223243787,-0.2,-260573989.33,-276004041.3,-2.26,11.24,20.24,26.25,baseline,cross-year base attention score rises; profit turns or remains negative
000514_2022_2023,000514,渝开发,2022,2023,1,True,1216221769,1219824168,-0.08,-1141869868.46,-57058551.3,-2.82,-1.19,4.81,30.0,dividend_with_profit_decline,profit declines while dividend remains
000514_2022_2024,000514,渝开发,2022,2024,2,False,1216221769,1223243787,-0.2,-1131444302.24,-276672875.59,-2.82,11.09,20.09,26.25,baseline,cross-year base attention score rises; profit turns or remains negative
000514_2023_2024,000514,渝开发,2023,2024,1,True,1219824168,1223243787,-0.12,10425566.22,-219614324.29,0.0,12.28,15.28,45.0,baseline,cross-year base attention score rises; profit turns or remains negative
000573_2020_2021,000573,粤宏远A,2020,2021,1,True,1209682944,1212911763,0.4,-145809651.79,256854791.88,0.0,-10.6,-3.6,35.0,dividend_up_cashflow_down,dividend rises while operating cash flow declines
000573_2020_2022,000573,粤宏远A,2020,2022,2,False,1209682944,1216299891,0.2,-325130940.82,157787628.27,16.38,19.8,39.8,63.75,dividend_up_cashflow_down;dividend_with_negative_cashflow;high_cross_year_pressure,cross-year liquidity-risk score rises; cross-year base attention score rises; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow
000573_2020_2023,000573,粤宏远A,2020,2023,3,False,1209682944,1219600830,0.0,-563542314.41,182321300.48,16.38,18.6,32.85,45.0,dividend_with_negative_cashflow,cross-year liquidity-risk score rises; cross-year base attention score rises; current-year dividend with negative operating cash flow
000573_2020_2024,000573,粤宏远A,2020,2024,4,False,1209682944,1223151948,-0.1,-279914570.11,68537247.35,0.0,21.9,36.9,41.25,dividend_with_negative_cashflow;attention_score_jump,cross-year base attention score jumps; current-year dividend with negative operating cash flow
000573_2021_2022,000573,粤宏远A,2021,2022,1,True,1212911763,1216299891,-0.2,-179321289.03,-99067163.61,16.38,30.4,43.4,100.0,dividend_with_negative_cashflow;dividend_with_profit_decline;attention_score_jump;high_cross_year_pressure,cross-year liquidity-risk score rises; cross-year base attention score jumps; current-year dividend with negative operating cash flow; profit declines while dividend remains
000573_2021_2023,000573,粤宏远A,2021,2023,2,False,1212911763,1219600830,-0.4,-417732662.62,-74533491.4,16.38,29.2,36.45,71.25,dividend_with_negative_cashflow;dividend_with_profit_decline;attention_score_jump;high_cross_year_pressure,cross-year liquidity-risk score rises; cross-year base attention score jumps; current-year dividend with negative operating cash flow; profit declines while dividend remains
000573_2021_2024,000573,粤宏远A,2021,2024,3,False,1212911763,1223151948,-0.5,-134104918.32,-188317544.53,0.0,32.5,40.5,71.25,dividend_with_negative_cashflow;dividend_with_profit_decline;attention_score_jump;high_cross_year_pressure,cross-year base attention score jumps; current-year dividend with negative operating cash flow; profit declines while dividend remains; profit turns or remains negative
000573_2022_2023,000573,粤宏远A,2022,2023,1,True,1216299891,1219600830,-0.2,-238411373.59,24533672.21,0.0,-1.2,-6.95,35.0,dividend_with_negative_cashflow,current-year dividend with negative operating cash flow
000573_2022_2024,000573,粤宏远A,2022,2024,2,False,1216299891,1223151948,-0.3,45216370.71,-89250380.92,-16.38,2.1,-2.9,48.75,dividend_with_negative_cashflow;dividend_with_profit_decline,current-year dividend with negative operating cash flow; profit declines while dividend remains; profit turns or remains negative
000573_2023_2024,000573,粤宏远A,2023,2024,1,True,1219600830,1223151948,-0.1,283627744.3,-113784053.13,-16.38,3.3,4.05,75.0,dividend_with_negative_cashflow;dividend_with_profit_decline,current-year dividend with negative operating cash flow; profit declines while dividend remains; profit turns or remains negative
000736_2020_2021,000736,中交地产,2020,2021,1,True,1209691245,1212925020,-0.5,14288021981.61,-111844029.73,-27.68,-9.93,-9.93,0.0,baseline,cross-year baseline comparison
000736_2020_2022,000736,中交地产,2020,2022,2,False,1209691245,1216358368,9.5,21674857620.82,-313549885.88,-29.38,2.15,11.15,15.0,dividend_with_profit_decline,profit declines while dividend remains
000736_2020_2023,000736,中交地产,2020,2023,3,False,1209691245,1219517434,-0.5,25788599824.39,-2020588908.85,-29.94,-19.99,-13.99,15.0,baseline,profit turns or remains negative
000736_2020_2024,000736,中交地产,2020,2024,4,False,1209691245,1223096939,-0.5,21914870030.74,-5526571405.49,-14.12,-8.54,4.46,15.0,baseline,profit turns or remains negative
000736_2021_2022,000736,中交地产,2021,2022,1,True,1212925020,1216358368,10.0,7386835639.21,-201705856.15,-1.7,12.08,21.08,45.0,dividend_with_profit_decline,cross-year base attention score rises; profit declines while dividend remains
000736_2021_2023,000736,中交地产,2021,2023,2,False,1212925020,1219517434,0.0,11500577842.78,-1908744879.12,-2.26,-10.06,-4.06,15.0,baseline,profit turns or remains negative
000736_2021_2024,000736,中交地产,2021,2024,3,False,1212925020,1223096939,0.0,7626848049.13,-5414727375.76,13.56,1.39,14.39,15.0,baseline,profit turns or remains negative
000736_2022_2023,000736,中交地产,2022,2023,1,True,1216358368,1219517434,-10.0,4113742203.57,-1707039022.97,-0.56,-22.14,-25.14,30.0,baseline,profit turns or remains negative
000736_2022_2024,000736,中交地产,2022,2024,2,False,1216358368,1223096939,-10.0,240012409.92,-5213021519.61,15.26,-10.69,-6.69,30.0,baseline,cross-year liquidity-risk score rises; profit turns or remains negative
000736_2023_2024,000736,中交地产,2023,2024,1,True,1219517434,1223096939,0.0,-3873729793.65,-3505982496.64,15.82,11.45,18.45,65.0,baseline,cross-year liquidity-risk score rises; cross-year base attention score rises; profit turns or remains negative
000797_2020_2021,000797,中国武夷,2020,2021,1,True,1209814356,1212856624,-0.5,-957899250.06,-232960503.08,13.56,5.39,11.39,30.0,dividend_with_profit_decline,profit declines while dividend remains
000797_2020_2022,000797,中国武夷,2020,2022,2,False,1209814356,1216380526,-0.5,-1071949477.29,-256126878.1,4.52,3.13,9.13,15.0,dividend_with_profit_decline,profit declines while dividend remains
000797_2020_2023,000797,中国武夷,2020,2023,3,False,1209814356,1219597689,-0.5,-443145628.02,-247563670.15,15.25,5.81,11.81,30.0,dividend_with_profit_decline,cross-year liquidity-risk score rises; profit declines while dividend remains
000797_2020_2024,000797,中国武夷,2020,2024,4,False,1209814356,1223149048,-0.6,-1761586769.09,-261542866.77,4.52,25.03,30.03,22.5,attention_score_jump,cross-year base attention score jumps
000797_2021_2022,000797,中国武夷,2021,2022,1,True,1212856624,1216380526,0.0,-114050227.23,-23166375.02,-9.04,-2.26,-2.26,30.0,dividend_with_profit_decline,profit declines while dividend remains
000797_2021_2023,000797,中国武夷,2021,2023,2,False,1212856624,1219597689,0.0,514753622.04,-14603167.07,1.69,0.42,0.42,15.0,dividend_with_profit_decline,profit declines while dividend remains
000797_2021_2024,000797,中国武夷,2021,2024,3,False,1212856624,1223149048,-0.1,-803687519.03,-28582363.69,-9.04,19.64,18.64,11.25,baseline,cross-year base attention score rises
000797_2022_2023,000797,中国武夷,2022,2023,1,True,1216380526,1219597689,0.0,628803849.27,8563207.95,10.73,2.68,2.68,0.0,baseline,cross-year baseline comparison
