event_id,stock_code,stock_name,from_year,to_year,year_gap,is_consecutive_pair,from_doc_id,to_doc_id,dividend_delta,ocf_delta_cny,profit_delta_cny,risk_score_delta,base_attention_score_delta,final_attention_score_delta,cross_year_pressure_score,event_type,review_reason
002244_2020_2023,002244,滨江集团,2020,2023,3,False,1209847122,1219860111,-1.36,35807142413.12,201493550.53,19.21,-25.85,-19.85,15.0,baseline,cross-year liquidity-risk score rises
002244_2020_2024,002244,滨江集团,2020,2024,4,False,1209847122,1223305625,-1.44,10824734738.99,218119804.91,24.3,-25.06,-22.06,15.0,baseline,cross-year liquidity-risk score rises
002244_2021_2022,002244,滨江集团,2021,2022,1,True,1213249284,1217376050,0.24,4374235226.66,713704331.49,2.26,-13.0,-16.0,0.0,baseline,cross-year baseline comparison
002244_2021_2023,002244,滨江集团,2021,2023,2,False,1213249284,1219860111,-1.36,31810583128.13,-498188319.1,3.95,-22.17,-22.17,15.0,dividend_with_profit_decline,profit declines while dividend remains
002244_2021_2024,002244,滨江集团,2021,2024,3,False,1213249284,1223305625,-1.44,6828175454.0,-481562064.72,9.04,-21.38,-24.38,15.0,dividend_with_profit_decline,profit declines while dividend remains
002244_2022_2023,002244,滨江集团,2022,2023,1,True,1217376050,1219860111,-1.6,27436347901.47,-1211892650.59,1.69,-9.17,-6.17,30.0,dividend_with_profit_decline,profit declines while dividend remains
002244_2022_2024,002244,滨江集团,2022,2024,2,False,1217376050,1223305625,-1.68,2453940227.34,-1195266396.21,6.78,-8.38,-8.38,15.0,dividend_with_profit_decline,profit declines while dividend remains
002244_2023_2024,002244,滨江集团,2023,2024,1,True,1219860111,1223305625,-0.08,-24982407674.13,16626254.38,5.09,0.79,-2.21,0.0,baseline,cross-year baseline comparison
600048_2020_2021,600048,保利发展,2020,2021,1,True,1209726563,1212964021,-1.5,-4599260419.73,-1560593256.66,-2.82,-0.71,5.29,30.0,dividend_with_profit_decline,profit declines while dividend remains
600048_2020_2022,600048,保利发展,2020,2022,2,False,1209726563,1216282876,-2.8,-7728100519.73,-10601610356.66,-5.08,-4.27,1.73,15.0,dividend_with_profit_decline,profit declines while dividend remains
600048_2020_2023,600048,保利发展,2020,2023,3,False,1209726563,1219740785,-3.2,-1220470119.73,-16881273056.66,-0.56,-13.04,-7.04,15.0,dividend_with_profit_decline,profit declines while dividend remains
600048_2020_2024,600048,保利发展,2020,2024,4,False,1209726563,1223382905,,-8893167019.73,-23947246556.66,-5.08,-34.27,-34.27,0.0,baseline,cross-year baseline comparison
600048_2021_2022,600048,保利发展,2021,2022,1,True,1212964021,1216282876,-1.3,-3128840100.0,-9041017100.0,-2.26,-3.56,-3.56,30.0,dividend_with_profit_decline,profit declines while dividend remains
600048_2021_2023,600048,保利发展,2021,2023,2,False,1212964021,1219740785,-1.7,3378790300.0,-15320679800.0,2.26,-12.33,-12.33,15.0,dividend_with_profit_decline,profit declines while dividend remains
600048_2021_2024,600048,保利发展,2021,2024,3,False,1212964021,1223382905,,-4293906600.0,-22386653300.0,-2.26,-33.56,-39.56,0.0,baseline,cross-year baseline comparison
600048_2022_2023,600048,保利发展,2022,2023,1,True,1216282876,1219740785,-0.4,6507630400.0,-6279662700.0,4.52,-8.77,-8.77,30.0,dividend_with_profit_decline,profit declines while dividend remains
600048_2022_2024,600048,保利发展,2022,2024,2,False,1216282876,1223382905,,-1165066500.0,-13345636200.0,0.0,-30.0,-36.0,0.0,baseline,cross-year baseline comparison
600048_2023_2024,600048,保利发展,2023,2024,1,True,1219740785,1223382905,,-7672696900.0,-7065973500.0,-4.52,-21.23,-27.23,0.0,baseline,cross-year baseline comparison
600094_2020_2021,600094,大名城,2020,2021,1,True,1209797563,1213255431,,8950512008.13,-860516559.8,-1.7,-6.92,-0.92,30.0,baseline,profit turns or remains negative
600094_2020_2022,600094,大名城,2020,2022,2,False,1209797563,1216411227,,3280928063.16,-277213520.54,0.0,-19.5,-19.5,0.0,baseline,cross-year baseline comparison
600094_2020_2023,600094,大名城,2020,2023,3,False,1209797563,1219622167,,4065290105.03,-225620528.8,-4.52,-20.63,-20.63,0.0,baseline,cross-year baseline comparison
600094_2020_2024,600094,大名城,2020,2024,4,False,1209797563,1223317029,,2439139090.73,-2784189908.55,-11.3,5.67,17.67,15.0,baseline,profit turns or remains negative
600094_2021_2022,600094,大名城,2021,2022,1,True,1213255431,1216411227,,-5669583944.97,583303039.26,1.7,-12.58,-18.58,0.0,baseline,cross-year baseline comparison
600094_2021_2023,600094,大名城,2021,2023,2,False,1213255431,1219622167,,-4885221903.1,634896031.0,-2.82,-13.71,-19.71,0.0,baseline,cross-year baseline comparison
600094_2021_2024,600094,大名城,2021,2024,3,False,1213255431,1223317029,,-6511372917.4,-1923673348.75,-9.6,12.59,18.59,26.25,baseline,cross-year base attention score rises; profit turns or remains negative
600094_2022_2023,600094,大名城,2022,2023,1,True,1216411227,1219622167,,784362041.87,51592991.74,-4.52,-1.13,-1.13,0.0,baseline,cross-year baseline comparison
600094_2022_2024,600094,大名城,2022,2024,2,False,1216411227,1223317029,,-841788972.43,-2506976388.01,-11.3,25.17,37.17,37.5,attention_score_jump,cross-year base attention score jumps; profit turns or remains negative
600094_2023_2024,600094,大名城,2023,2024,1,True,1219622167,1223317029,,-1626151014.3,-2558569379.75,-6.78,26.3,38.3,60.0,attention_score_jump,cross-year base attention score jumps; profit turns or remains negative
600266_2020_2021,600266,城建发展,2020,2021,1,True,1209669275,1212942161,0.0,3995662690.58,-592952309.14,15.25,-18.68,-8.68,50.0,dividend_with_profit_decline,cross-year liquidity-risk score rises; profit declines while dividend remains
600266_2020_2022,600266,城建发展,2020,2022,2,False,1209669275,1216238461,0.0,9240775826.31,-2160386385.89,-4.52,-5.63,7.37,30.0,dividend_with_profit_decline,profit declines while dividend remains; profit turns or remains negative
600266_2020_2023,600266,城建发展,2020,2023,3,False,1209669275,1219595758,0.0,14019585326.39,-675313633.58,1.69,-22.07,-19.07,15.0,dividend_with_profit_decline,profit declines while dividend remains
600266_2020_2024,600266,城建发展,2020,2024,4,False,1209669275,1223155072,-0.5,6478623524.79,-2185251657.74,-0.57,-7.64,5.36,30.0,dividend_with_profit_decline,profit declines while dividend remains; profit turns or remains negative
600266_2021_2022,600266,城建发展,2021,2022,1,True,1212942161,1216238461,0.0,5245113135.73,-1567434076.75,-19.77,13.05,16.05,65.0,dividend_with_profit_decline,cross-year base attention score rises; profit declines while dividend remains; profit turns or remains negative
600266_2021_2023,600266,城建发展,2021,2023,2,False,1212942161,1219595758,0.0,10023922635.81,-82361324.44,-13.56,-3.39,-10.39,15.0,dividend_with_profit_decline,profit declines while dividend remains
600266_2021_2024,600266,城建发展,2021,2024,3,False,1212942161,1223155072,-0.5,2482960834.21,-1592299348.6,-15.82,11.04,14.04,41.25,dividend_with_profit_decline,cross-year base attention score rises; profit declines while dividend remains; profit turns or remains negative
600266_2022_2023,600266,城建发展,2022,2023,1,True,1216238461,1219595758,0.0,4778809500.08,1485072752.31,6.21,-16.44,-26.44,0.0,baseline,cross-year baseline comparison
600266_2022_2024,600266,城建发展,2022,2024,2,False,1216238461,1223155072,-0.5,-2762152301.52,-24865271.85,3.95,-2.01,-2.01,30.0,dividend_with_profit_decline,profit declines while dividend remains; profit turns or remains negative
600266_2023_2024,600266,城建发展,2023,2024,1,True,1219595758,1223155072,-0.5,-7540961801.6,-1509938024.16,-2.26,14.43,24.43,65.0,dividend_with_profit_decline,cross-year base attention score rises; profit declines while dividend remains; profit turns or remains negative
600325_2020_2021,600325,华发股份,2020,2021,1,True,1209797610,1212857761,0.1,6952170026.59,292730636.86,-4.52,-0.53,-0.53,0.0,baseline,cross-year baseline comparison
600325_2020_2022,600325,华发股份,2020,2022,2,False,1209797610,1216169340,-0.8,9235686123.67,-324201965.89,-4.52,-5.93,0.07,15.0,dividend_with_profit_decline,profit declines while dividend remains
600325_2020_2023,600325,华发股份,2020,2023,3,False,1209797610,1219875404,-0.8,21435304899.55,-1064176656.14,-36.72,-13.98,-7.98,15.0,dividend_with_profit_decline,profit declines while dividend remains
600325_2020_2024,600325,华发股份,2020,2024,4,False,1209797610,1222807709,-3.46,-13208874348.45,-1950714459.5,-36.72,-29.94,-23.94,15.0,dividend_with_profit_decline,profit declines while dividend remains
600325_2021_2022,600325,华发股份,2021,2022,1,True,1212857761,1216169340,-0.9,2283516097.08,-616932602.75,0.0,-5.4,0.6,30.0,dividend_with_profit_decline,profit declines while dividend remains
600325_2021_2023,600325,华发股份,2021,2023,2,False,1212857761,1219875404,-0.9,14483134872.96,-1356907293.0,-32.2,-13.45,-7.45,15.0,dividend_with_profit_decline,profit declines while dividend remains
600325_2021_2024,600325,华发股份,2021,2024,3,False,1212857761,1222807709,-3.56,-20161044375.04,-2243445096.36,-32.2,-29.41,-23.41,15.0,dividend_with_profit_decline,profit declines while dividend remains
600325_2022_2023,600325,华发股份,2022,2023,1,True,1216169340,1219875404,0.0,12199618775.88,-739974690.25,-32.2,-8.05,-8.05,30.0,dividend_with_profit_decline,profit declines while dividend remains
600325_2022_2024,600325,华发股份,2022,2024,2,False,1216169340,1222807709,-2.66,-22444560472.12,-1626512493.61,-32.2,-24.01,-24.01,15.0,dividend_with_profit_decline,profit declines while dividend remains
600325_2023_2024,600325,华发股份,2023,2024,1,True,1219875404,1222807709,-2.66,-34644179248.0,-886537803.36,0.0,-15.96,-15.96,30.0,dividend_with_profit_decline,profit declines while dividend remains
600376_2020_2021,600376,首开股份,2020,2021,1,True,1209712122,1212940956,-3.0,1813753784.45,-2447298036.48,0.0,-18.0,-12.0,30.0,dividend_with_profit_decline,profit declines while dividend remains
600376_2020_2022,600376,首开股份,2020,2022,2,False,1209712122,1216741112,-3.0,-1171017602.38,-3600549641.21,0.0,0.0,13.0,30.0,dividend_with_profit_decline,profit declines while dividend remains; profit turns or remains negative
600376_2020_2023,600376,首开股份,2020,2023,3,False,1209712122,1219689383,-4.0,77668099.99,-9478126772.7,2.26,-5.44,0.56,15.0,baseline,profit turns or remains negative
600376_2020_2024,600376,首开股份,2020,2024,4,False,1209712122,1223218785,-4.0,1792209528.66,-11280378935.82,0.0,-6.0,0.0,15.0,baseline,profit turns or remains negative
600376_2021_2022,600376,首开股份,2021,2022,1,True,1212940956,1216741112,0.0,-2984771386.83,-1153251604.73,0.0,18.0,25.0,65.0,dividend_with_profit_decline,cross-year base attention score rises; profit declines while dividend remains; profit turns or remains negative
600376_2021_2023,600376,首开股份,2021,2023,2,False,1212940956,1219689383,-1.0,-1736085684.46,-7030828736.22,2.26,12.56,12.56,26.25,baseline,cross-year base attention score rises; profit turns or remains negative
600376_2021_2024,600376,首开股份,2021,2024,3,False,1212940956,1223218785,-1.0,-21544255.79,-8833080899.34,0.0,12.0,12.0,26.25,baseline,cross-year base attention score rises; profit turns or remains negative
600376_2022_2023,600376,首开股份,2022,2023,1,True,1216741112,1219689383,-1.0,1248685702.37,-5877577131.49,2.26,-5.44,-12.44,30.0,baseline,profit turns or remains negative
600376_2022_2024,600376,首开股份,2022,2024,2,False,1216741112,1223218785,-1.0,2963227131.04,-7679829294.61,0.0,-6.0,-13.0,15.0,baseline,profit turns or remains negative
600376_2023_2024,600376,首开股份,2023,2024,1,True,1219689383,1223218785,0.0,1714541428.67,-1802252163.12,-2.26,-0.56,-0.56,30.0,baseline,profit turns or remains negative
600383_2020_2021,600383,金地集团,2020,2021,1,True,1209713680,1213086449,,1884078027.16,-988265790.83,6.21,19.55,28.55,45.0,dividend_with_profit_decline,cross-year base attention score rises; profit declines while dividend remains
600383_2020_2022,600383,金地集团,2020,2022,2,False,1209713680,1216702482,,12391791894.5,-4290497492.15,79.66,16.08,29.08,52.5,dividend_with_profit_decline;risk_score_jump;high_cross_year_pressure,cross-year liquidity-risk score jumps; cross-year base attention score rises; profit declines while dividend remains
600383_2020_2023,600383,金地集团,2020,2023,3,False,1209713680,1219307600,,-5322952634.99,-9509663073.82,15.82,-6.86,-0.86,30.0,dividend_with_profit_decline,cross-year liquidity-risk score rises; profit declines while dividend remains
600383_2020_2024,600383,金地集团,2020,2024,4,False,1209713680,1222881250,,6104304315.98,-16512870949.59,33.33,14.33,30.33,52.5,risk_score_jump;high_cross_year_pressure,cross-year liquidity-risk score jumps; cross-year base attention score rises; profit turns or remains negative
600383_2021_2022,600383,金地集团,2021,2022,1,True,1213086449,1216702482,-4.94,10507713867.34,-3302231701.32,73.45,-3.47,0.53,65.0,dividend_with_profit_decline;risk_score_jump,cross-year liquidity-risk score jumps; profit declines while dividend remains
600383_2021_2023,600383,金地集团,2021,2023,2,False,1213086449,1219307600,-6.103,-7207030662.15,-8521397282.99,9.61,-26.41,-29.41,15.0,dividend_with_profit_decline,profit declines while dividend remains
600383_2021_2024,600383,金地集团,2021,2024,3,False,1213086449,1222881250,-6.3,4220226288.82,-15524605158.76,27.12,-5.22,1.78,41.25,risk_score_jump,cross-year liquidity-risk score jumps; profit turns or remains negative
600383_2022_2023,600383,金地集团,2022,2023,1,True,1216702482,1219307600,-1.163,-17714744529.49,-5219165581.67,-63.84,-22.94,-29.94,30.0,dividend_with_profit_decline,profit declines while dividend remains
600383_2022_2024,600383,金地集团,2022,2024,2,False,1216702482,1222881250,-1.36,-6287487578.52,-12222373457.44,-46.33,-1.75,1.25,15.0,baseline,profit turns or remains negative
600383_2023_2024,600383,金地集团,2023,2024,1,True,1219307600,1222881250,-0.197,11427256950.97,-7003207875.77,17.51,21.19,31.19,80.0,attention_score_jump;high_cross_year_pressure,cross-year liquidity-risk score rises; cross-year base attention score jumps; profit turns or remains negative
600533_2020_2021,600533,栖霞建设,2020,2021,1,True,1209878729,1213269486,0.2,3041687429.96,43247800.68,2.26,-20.74,-20.74,0.0,baseline,cross-year baseline comparison
600533_2020_2022,600533,栖霞建设,2020,2022,2,False,1209878729,1216690726,0.0,-670962739.07,-137822109.72,0.0,0.0,17.0,33.75,dividend_with_negative_cashflow;dividend_with_profit_decline,current-year dividend with negative operating cash flow; profit declines while dividend remains
600533_2020_2023,600533,栖霞建设,2020,2023,3,False,1209878729,1219915446,,-826157009.53,-460866909.15,0.0,11.5,20.5,26.25,baseline,cross-year base attention score rises; profit turns or remains negative
600533_2020_2024,600533,栖霞建设,2020,2024,4,False,1209878729,1223420265,,-121155572.95,-1264714242.13,2.26,12.06,19.56,26.25,baseline,cross-year base attention score rises; profit turns or remains negative
600533_2021_2022,600533,栖霞建设,2021,2022,1,True,1213269486,1216690726,-0.2,-3712650169.03,-181069910.4,-2.26,20.74,37.74,85.0,dividend_with_negative_cashflow;dividend_with_profit_decline;attention_score_jump;high_cross_year_pressure,cross-year base attention score jumps; current-year dividend with negative operating cash flow; profit declines while dividend remains
600533_2021_2023,600533,栖霞建设,2021,2023,2,False,1213269486,1219915446,,-3867844439.49,-504114709.83,-2.26,32.24,41.24,37.5,attention_score_jump,cross-year base attention score jumps; profit turns or remains negative
600533_2021_2024,600533,栖霞建设,2021,2024,3,False,1213269486,1223420265,,-3162843002.91,-1307962042.81,0.0,32.8,40.3,37.5,attention_score_jump,cross-year base attention score jumps; profit turns or remains negative
600533_2022_2023,600533,栖霞建设,2022,2023,1,True,1216690726,1219915446,,-155194270.46,-323044799.43,0.0,11.5,3.5,45.0,baseline,cross-year base attention score rises; profit turns or remains negative
600533_2022_2024,600533,栖霞建设,2022,2024,2,False,1216690726,1223420265,,549807166.12,-1126892132.41,2.26,12.06,2.56,26.25,baseline,cross-year base attention score rises; profit turns or remains negative
600533_2023_2024,600533,栖霞建设,2023,2024,1,True,1219915446,1223420265,,705001436.58,-803847332.98,2.26,0.56,-0.94,30.0,baseline,profit turns or remains negative
600639_2020_2021,600639,浦东金桥,2020,2021,1,True,1209711545,1212921077,2.0,-2186672353.42,515237722.34,-2.82,18.79,28.79,50.0,dividend_up_cashflow_down,cross-year base attention score rises; dividend rises while operating cash flow declines
600639_2020_2022,600639,浦东金桥,2020,2022,2,False,1209711545,1216402029,2.0,-5799943526.93,475811597.22,-2.82,33.79,47.79,60.0,dividend_up_cashflow_down;dividend_with_negative_cashflow;attention_score_jump;high_cross_year_pressure,cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow
600639_2020_2023,600639,浦东金桥,2020,2023,3,False,1209711545,1219583682,2.7,-9971374901.99,711027600.47,-2.82,33.79,45.79,60.0,dividend_up_cashflow_down;dividend_with_negative_cashflow;attention_score_jump;high_cross_year_pressure,cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow
600639_2020_2024,600639,浦东金桥,2020,2024,4,False,1209711545,1223095385,0.227,-4467439955.1,-105812199.67,-5.08,22.59,37.59,75.0,dividend_up_cashflow_down;dividend_with_negative_cashflow;dividend_with_profit_decline;attention_score_jump;high_cross_year_pressure,cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow; profit declines while dividend remains
600639_2021_2022,600639,浦东金桥,2021,2022,1,True,1212921077,1216402029,0.0,-3613271173.51,-39426125.12,0.0,15.0,19.0,70.0,dividend_with_negative_cashflow;dividend_with_profit_decline,cross-year base attention score rises; current-year dividend with negative operating cash flow; profit declines while dividend remains
600639_2021_2023,600639,浦东金桥,2021,2023,2,False,1212921077,1219583682,0.7,-7784702548.57,195789878.13,0.0,15.0,17.0,48.75,dividend_up_cashflow_down;dividend_with_negative_cashflow,cross-year base attention score rises; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow
600639_2021_2024,600639,浦东金桥,2021,2024,3,False,1212921077,1223095385,-1.773,-2280767601.68,-621049922.01,-2.26,3.8,8.8,33.75,dividend_with_negative_cashflow;dividend_with_profit_decline,current-year dividend with negative operating cash flow; profit declines while dividend remains
600639_2022_2023,600639,浦东金桥,2022,2023,1,True,1216402029,1219583682,0.7,-4171431375.06,235216003.25,0.0,0.0,-2.0,60.0,dividend_up_cashflow_down;dividend_with_negative_cashflow,dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow
600639_2022_2024,600639,浦东金桥,2022,2024,2,False,1216402029,1223095385,-1.773,1332503571.83,-581623796.89,-2.26,-11.2,-10.2,33.75,dividend_with_negative_cashflow;dividend_with_profit_decline,current-year dividend with negative operating cash flow; profit declines while dividend remains
600639_2023_2024,600639,浦东金桥,2023,2024,1,True,1219583682,1223095385,-2.473,5503934946.89,-816839800.14,-2.26,-11.2,-8.2,55.0,dividend_with_negative_cashflow;dividend_with_profit_decline,current-year dividend with negative operating cash flow; profit declines while dividend remains
600648_2020_2021,600648,外高桥,2020,2021,1,True,1209488634,1212752447,6.254,-650867940.13,215482047.82,11.86,20.97,33.97,65.0,dividend_up_cashflow_down;attention_score_jump,cross-year base attention score jumps; dividend rises while operating cash flow declines
600648_2020_2022,600648,外高桥,2020,2022,2,False,1209488634,1216389638,1.3,-5894103681.96,519176504.92,0.0,30.3,42.3,60.0,dividend_up_cashflow_down;dividend_with_negative_cashflow;attention_score_jump;high_cross_year_pressure,cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow
600648_2020_2023,600648,外高桥,2020,2023,3,False,1209488634,1219840458,1.5,-3855515215.92,-568505438.66,-13.56,10.61,19.61,45.0,dividend_up_cashflow_down;dividend_with_profit_decline,cross-year base attention score rises; dividend rises while operating cash flow declines; profit declines while dividend remains
600648_2020_2024,600648,外高桥,2020,2024,4,False,1209488634,1223283699,,-6966670271.62,229807555.53,-1.7,14.58,16.83,11.25,baseline,cross-year base attention score rises
600648_2021_2022,600648,外高桥,2021,2022,1,True,1212752447,1216389638,-4.954,-5243235741.83,303694457.1,-11.86,9.33,8.33,35.0,dividend_with_negative_cashflow,current-year dividend with negative operating cash flow
600648_2021_2023,600648,外高桥,2021,2023,2,False,1212752447,1219840458,-4.754,-3204647275.79,-783987486.48,-25.42,-10.36,-14.36,15.0,dividend_with_profit_decline,profit declines while dividend remains
600648_2021_2024,600648,外高桥,2021,2024,3,False,1212752447,1223283699,,-6315802331.49,14325507.71,-13.56,-6.39,-17.14,0.0,baseline,cross-year baseline comparison
600648_2022_2023,600648,外高桥,2022,2023,1,True,1216389638,1219840458,0.2,2038588466.04,-1087681943.58,-13.56,-19.69,-22.69,30.0,dividend_with_profit_decline,profit declines while dividend remains
600648_2022_2024,600648,外高桥,2022,2024,2,False,1216389638,1223283699,,-1072566589.66,-289368949.39,-1.7,-15.72,-25.47,0.0,baseline,cross-year baseline comparison
600648_2023_2024,600648,外高桥,2023,2024,1,True,1219840458,1223283699,,-3111155055.7,798312994.19,11.86,3.97,-2.78,0.0,baseline,cross-year baseline comparison
600649_2020_2021,600649,城投控股,2020,2021,1,True,1209438821,1212687124,0.18,-13750238819.91,141852237.79,-11.3,20.75,38.75,90.0,dividend_up_cashflow_down;dividend_with_negative_cashflow;attention_score_jump;high_cross_year_pressure,cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow
600649_2020_2022,600649,城投控股,2020,2022,2,False,1209438821,1216220009,0.18,-9251511571.85,12864604.18,-10.74,20.9,32.9,60.0,dividend_up_cashflow_down;dividend_with_negative_cashflow;attention_score_jump;high_cross_year_pressure,cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow
600649_2020_2023,600649,城投控股,2020,2023,3,False,1209438821,1219469544,-0.32,1024224013.49,-354225337.89,-11.3,0.25,6.25,15.0,dividend_with_profit_decline,profit declines while dividend remains
600649_2020_2024,600649,城投控股,2020,2024,4,False,1209438821,1222949865,-0.52,1584937241.65,-526977806.98,-8.48,-0.24,5.76,15.0,dividend_with_profit_decline,profit declines while dividend remains
600649_2021_2022,600649,城投控股,2021,2022,1,True,1212687124,1216220009,0.0,4498727248.06,-128987633.61,0.56,0.15,-5.85,55.0,dividend_with_negative_cashflow;dividend_with_profit_decline,current-year dividend with negative operating cash flow; profit declines while dividend remains
600649_2021_2023,600649,城投控股,2021,2023,2,False,1212687124,1219469544,-0.5,14774462833.4,-496077575.68,0.0,-20.5,-32.5,15.0,dividend_with_profit_decline,profit declines while dividend remains
600649_2021_2024,600649,城投控股,2021,2024,3,False,1212687124,1222949865,-0.7,15335176061.56,-668830044.77,2.82,-20.99,-32.99,15.0,dividend_with_profit_decline,profit declines while dividend remains
600649_2022_2023,600649,城投控股,2022,2023,1,True,1216220009,1219469544,-0.5,10275735585.34,-367089942.07,-0.56,-20.65,-26.65,30.0,dividend_with_profit_decline,profit declines while dividend remains
600649_2022_2024,600649,城投控股,2022,2024,2,False,1216220009,1222949865,-0.7,10836448813.5,-539842411.16,2.26,-21.14,-27.14,15.0,dividend_with_profit_decline,profit declines while dividend remains
600649_2023_2024,600649,城投控股,2023,2024,1,True,1219469544,1222949865,-0.2,560713228.16,-172752469.09,2.82,-0.49,-0.49,30.0,dividend_with_profit_decline,profit declines while dividend remains
600657_2020_2021,600657,信达地产,2020,2021,1,True,1209465365,1212728709,,-4649285983.49,-686783481.65,17.51,4.08,14.08,50.0,dividend_with_profit_decline,cross-year liquidity-risk score rises; profit declines while dividend remains
600657_2020_2022,600657,信达地产,2020,2022,2,False,1209465365,1216245554,,-5520942384.36,-951630692.06,12.43,1.0,7.0,15.0,dividend_with_profit_decline,profit declines while dividend remains
600657_2020_2023,600657,信达地产,2020,2023,3,False,1209465365,1219412328,,-6648579559.04,-996665357.05,14.69,-0.83,-0.83,0.0,baseline,cross-year baseline comparison
600657_2020_2024,600657,信达地产,2020,2024,4,False,1209465365,1223073009,,-8502039497.95,-2285945158.37,12.43,43.6,55.6,37.5,attention_score_jump,cross-year base attention score jumps; profit turns or remains negative
600657_2021_2022,600657,信达地产,2021,2022,1,True,1212728709,1216245554,-0.3,-871656400.87,-264847210.41,-5.08,-3.08,-7.08,30.0,dividend_with_profit_decline,profit declines while dividend remains
600657_2021_2023,600657,信达地产,2021,2023,2,False,1212728709,1219412328,-0.7,-1999293575.55,-309881875.4,-2.82,-4.91,-14.91,0.0,baseline,cross-year baseline comparison
600657_2021_2024,600657,信达地产,2021,2024,3,False,1212728709,1223073009,,-3852753514.46,-1599161676.72,-5.08,39.52,41.52,37.5,attention_score_jump,cross-year base attention score jumps; profit turns or remains negative
600657_2022_2023,600657,信达地产,2022,2023,1,True,1216245554,1219412328,-0.4,-1127637174.68,-45034664.99,2.26,-1.83,-7.83,0.0,baseline,cross-year baseline comparison
600657_2022_2024,600657,信达地产,2022,2024,2,False,1216245554,1223073009,,-2981097113.59,-1334314466.31,0.0,42.6,48.6,37.5,attention_score_jump,cross-year base attention score jumps; profit turns or remains negative
600657_2023_2024,600657,信达地产,2023,2024,1,True,1219412328,1223073009,,-1853459938.91,-1289279801.32,-2.26,44.43,56.43,60.0,attention_score_jump,cross-year base attention score jumps; profit turns or remains negative
600658_2020_2021,600658,电子城,2020,2021,1,True,1209768898,1212974325,-1.25,1455011262.09,-489087665.14,-24.86,-3.72,2.28,30.0,dividend_with_profit_decline,profit declines while dividend remains
600658_2020_2022,600658,电子城,2020,2022,2,False,1209768898,1216492720,-0.87,-1737993847.15,71202331.58,-27.69,10.36,25.36,30.0,dividend_with_negative_cashflow,cross-year base attention score rises; current-year dividend with negative operating cash flow
600658_2020_2023,600658,电子城,2020,2023,3,False,1209768898,1219910873,-1.4,-1012524881.34,-697944153.02,-19.21,19.8,27.3,26.25,baseline,cross-year base attention score rises; profit turns or remains negative
600658_2020_2024,600658,电子城,2020,2024,4,False,1209768898,1223318757,-1.4,-1628318329.64,-2100394313.73,-21.47,26.73,34.23,37.5,attention_score_jump,cross-year base attention score jumps; profit turns or remains negative
600658_2021_2022,600658,电子城,2021,2022,1,True,1212974325,1216492720,0.38,-3193005109.24,560289996.72,-2.83,14.08,23.08,75.0,dividend_up_cashflow_down;dividend_with_negative_cashflow,cross-year base attention score rises; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow
600658_2021_2023,600658,电子城,2021,2023,2,False,1212974325,1219910873,-0.15,-2467536143.43,-208856487.88,5.65,23.52,25.02,37.5,attention_score_jump,cross-year base attention score jumps; profit turns or remains negative
600658_2021_2024,600658,电子城,2021,2024,3,False,1212974325,1223318757,-0.15,-3083329591.73,-1611306648.59,3.39,30.45,31.95,37.5,attention_score_jump,cross-year base attention score jumps; profit turns or remains negative
600658_2022_2023,600658,电子城,2022,2023,1,True,1216492720,1219910873,-0.53,725468965.81,-769146484.6,8.48,9.44,1.94,30.0,baseline,profit turns or remains negative
600658_2022_2024,600658,电子城,2022,2024,2,False,1216492720,1223318757,-0.53,109675517.51,-2171596645.31,6.22,16.37,8.87,26.25,baseline,cross-year base attention score rises; profit turns or remains negative
600658_2023_2024,600658,电子城,2023,2024,1,True,1219910873,1223318757,0.0,-615793448.3,-1402450160.71,-2.26,6.93,6.93,30.0,baseline,profit turns or remains negative
600663_2020_2021,600663,陆家嘴,2020,2021,1,True,1209488661,1212740393,0.37,4417211989.97,298943629.07,0.0,-22.38,-22.38,0.0,baseline,cross-year baseline comparison
600663_2020_2022,600663,陆家嘴,2020,2022,2,False,1209488661,1216273292,-3.63,163418156.06,-2927190436.01,2.26,-21.22,-10.22,33.75,dividend_with_negative_cashflow;dividend_with_profit_decline,current-year dividend with negative operating cash flow; profit declines while dividend remains
600663_2020_2023,600663,陆家嘴,2020,2023,3,False,1209488661,1222823303,-3.84,12082995235.2,-2918488490.14,2.26,-44.98,-41.98,15.0,dividend_with_profit_decline,profit declines while dividend remains
600663_2020_2024,600663,陆家嘴,2020,2024,4,False,1209488661,1223218010,-4.3512,2018294797.15,-2503455146.84,2.26,-48.04,-45.04,15.0,dividend_with_profit_decline,profit declines while dividend remains
