doc_id,company_name,stock_code,report_year,announcement_title,announcement_date,cninfo_url,pdf_url,local_pdf_path,is_revision,download_status,error_message
1209488269,万科A,000002,2020,2020年年度报告,2021-03-31,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1209488269&orgId=gssz0000002,https://static.cninfo.com.cn/finalpage/2021-03-31/1209488269.PDF,data/pdf/万科A_2020_1209488269.pdf,False,success,
1212750450,万科A,000002,2021,2021年年度报告,2022-03-31,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1212750450&orgId=gssz0000002,https://static.cninfo.com.cn/finalpage/2022-03-31/1212750450.PDF,data/pdf/万科A_2021_1212750450.pdf,False,success,
1216273938,万科A,000002,2022,2022年年度报告,2023-03-31,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1216273938&orgId=gssz0000002,https://static.cninfo.com.cn/finalpage/2023-03-31/1216273938.PDF,data/pdf/万科A_2022_1216273938.pdf,False,success,
1219487237,万科A,000002,2023,2023年年度报告,2024-03-29,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1219487237&orgId=gssz0000002,https://static.cninfo.com.cn/finalpage/2024-03-29/1219487237.PDF,data/pdf/万科A_2023_1219487237.pdf,False,success,
1222974139,万科A,000002,2024,2024年年度报告,2025-04-01,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1222974139&orgId=gssz0000002,https://static.cninfo.com.cn/finalpage/2025-04-01/1222974139.PDF,data/pdf/万科A_2024_1222974139.pdf,False,success,
1209490148,深振业A,000006,2020,2020年年度报告,2021-03-31,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000006&announcementId=1209490148&orgId=gssz0000006,https://static.cninfo.com.cn/finalpage/2021-03-31/1209490148.PDF,data/pdf/深振业A_2020_1209490148.pdf,False,success,
1212943740,深振业A,000006,2021,2021年年度报告,2022-04-16,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000006&announcementId=1212943740&orgId=gssz0000006,https://static.cninfo.com.cn/finalpage/2022-04-16/1212943740.PDF,data/pdf/深振业A_2021_1212943740.pdf,False,success,
1216655440,深振业A,000006,2022,2022年年度报告,2023-04-28,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000006&announcementId=1216655440&orgId=gssz0000006,https://static.cninfo.com.cn/finalpage/2023-04-28/1216655440.PDF,data/pdf/深振业A_2022_1216655440.pdf,False,success,
1219865454,深振业A,000006,2023,2023年年度报告,2024-04-27,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000006&announcementId=1219865454&orgId=gssz0000006,https://static.cninfo.com.cn/finalpage/2024-04-27/1219865454.PDF,data/pdf/深振业A_2023_1219865454.pdf,False,success,
1223309112,深振业A,000006,2024,2024年年度报告,2025-04-26,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000006&announcementId=1223309112&orgId=gssz0000006,https://static.cninfo.com.cn/finalpage/2025-04-26/1223309112.PDF,data/pdf/深振业A_2024_1223309112.pdf,False,success,
1209462326,沙河股份,000014,2020,2020年年度报告,2021-03-27,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000014&announcementId=1209462326&orgId=gssz0000014,https://static.cninfo.com.cn/finalpage/2021-03-27/1209462326.PDF,data/pdf/沙河股份_2020_1209462326.pdf,False,success,
1212745865,沙河股份,000014,2021,2021年年度报告,2022-03-31,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000014&announcementId=1212745865&orgId=gssz0000014,https://static.cninfo.com.cn/finalpage/2022-03-31/1212745865.PDF,data/pdf/沙河股份_2021_1212745865.pdf,False,success,
1216269818,沙河股份,000014,2022,2022年年度报告,2023-03-31,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000014&announcementId=1216269818&orgId=gssz0000014,https://static.cninfo.com.cn/finalpage/2023-03-31/1216269818.PDF,data/pdf/沙河股份_2022_1216269818.pdf,False,success,
1219460432,沙河股份,000014,2023,2023年年度报告,2024-03-30,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000014&announcementId=1219460432&orgId=gssz0000014,https://static.cninfo.com.cn/finalpage/2024-03-30/1219460432.PDF,data/pdf/沙河股份_2023_1219460432.pdf,False,success,
1222943281,沙河股份,000014,2024,2024年年度报告,2025-03-29,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000014&announcementId=1222943281&orgId=gssz0000014,https://static.cninfo.com.cn/finalpage/2025-03-29/1222943281.PDF,data/pdf/沙河股份_2024_1222943281.pdf,False,success,
1209464144,大悦城,000031,2020,2020年年度报告,2021-03-27,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000031&announcementId=1209464144&orgId=gssz0000031,https://static.cninfo.com.cn/finalpage/2021-03-27/1209464144.PDF,data/pdf/大悦城_2020_1209464144.pdf,False,success,
1212886659,大悦城,000031,2021,2021年年度报告,2022-04-12,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000031&announcementId=1212886659&orgId=gssz0000031,https://static.cninfo.com.cn/finalpage/2022-04-12/1212886659.PDF,data/pdf/大悦城_2021_1212886659.pdf,False,success,
1216587088,大悦城,000031,2022,2022年年度报告,2023-04-26,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000031&announcementId=1216587088&orgId=gssz0000031,https://static.cninfo.com.cn/finalpage/2023-04-26/1216587088.PDF,data/pdf/大悦城_2022_1216587088.pdf,False,success,
1219863705,大悦城,000031,2023,2023年年度报告,2024-04-27,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000031&announcementId=1219863705&orgId=gssz0000031,https://static.cninfo.com.cn/finalpage/2024-04-27/1219863705.PDF,data/pdf/大悦城_2023_1219863705.pdf,False,success,
1223153545,大悦城,000031,2024,2024年年度报告,2025-04-19,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000031&announcementId=1223153545&orgId=gssz0000031,https://static.cninfo.com.cn/finalpage/2025-04-19/1223153545.PDF,data/pdf/大悦城_2024_1223153545.pdf,False,success,
1209676546,中洲控股,000042,2020,2020年年度报告,2021-04-13,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000042&announcementId=1209676546&orgId=gssz0000042,https://static.cninfo.com.cn/finalpage/2021-04-13/1209676546.PDF,data/pdf/中洲控股_2020_1209676546.pdf,False,success,
1212898226,中洲控股,000042,2021,2021年年度报告,2022-04-13,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000042&announcementId=1212898226&orgId=gssz0000042,https://static.cninfo.com.cn/finalpage/2022-04-13/1212898226.PDF,data/pdf/中洲控股_2021_1212898226.pdf,False,success,
1216380219,中洲控股,000042,2022,2022年年度报告,2023-04-12,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000042&announcementId=1216380219&orgId=gssz0000042,https://static.cninfo.com.cn/finalpage/2023-04-12/1216380219.PDF,data/pdf/中洲控股_2022_1216380219.pdf,False,success,
1219769062,中洲控股,000042,2023,2023年年度报告,2024-04-24,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000042&announcementId=1219769062&orgId=gssz0000042,https://static.cninfo.com.cn/finalpage/2024-04-24/1219769062.PDF,data/pdf/中洲控股_2023_1219769062.pdf,False,success,
