doc_id,stock_code,stock_name,title,pdf_path,markdown_path,parser,markdown_non_empty,has_garbled_text,has_dividend_keyword,has_financial_keyword,has_risk_keyword,page_no_preserved,needs_manual_fix
1209488269,000002,万科A,2020年年度报告,data/pdf/万科A_2020_1209488269.pdf,data/parsed/pdf_text/doc_1209488269_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1212750450,000002,万科A,2021年年度报告,data/pdf/万科A_2021_1212750450.pdf,data/parsed/pdf_text/doc_1212750450_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1216273938,000002,万科A,2022年年度报告,data/pdf/万科A_2022_1216273938.pdf,data/parsed/pdf_text/doc_1216273938_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1219487237,000002,万科A,2023年年度报告,data/pdf/万科A_2023_1219487237.pdf,data/parsed/pdf_text/doc_1219487237_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1222974139,000002,万科A,2024年年度报告,data/pdf/万科A_2024_1222974139.pdf,data/parsed/pdf_text/doc_1222974139_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1209490148,000006,深振业A,2020年年度报告,data/pdf/深振业A_2020_1209490148.pdf,data/parsed/pdf_text/doc_1209490148_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1212943740,000006,深振业A,2021年年度报告,data/pdf/深振业A_2021_1212943740.pdf,data/parsed/pdf_text/doc_1212943740_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1216655440,000006,深振业A,2022年年度报告,data/pdf/深振业A_2022_1216655440.pdf,data/parsed/pdf_text/doc_1216655440_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1219865454,000006,深振业A,2023年年度报告,data/pdf/深振业A_2023_1219865454.pdf,data/parsed/pdf_text/doc_1219865454_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1223309112,000006,深振业A,2024年年度报告,data/pdf/深振业A_2024_1223309112.pdf,data/parsed/pdf_text/doc_1223309112_pdf_text.md,pypdf_text_fallback,True,False,False,True,True,approximate,no
1209462326,000014,沙河股份,2020年年度报告,data/pdf/沙河股份_2020_1209462326.pdf,data/parsed/pdf_text/doc_1209462326_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1212745865,000014,沙河股份,2021年年度报告,data/pdf/沙河股份_2021_1212745865.pdf,data/parsed/pdf_text/doc_1212745865_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1216269818,000014,沙河股份,2022年年度报告,data/pdf/沙河股份_2022_1216269818.pdf,data/parsed/pdf_text/doc_1216269818_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1219460432,000014,沙河股份,2023年年度报告,data/pdf/沙河股份_2023_1219460432.pdf,data/parsed/pdf_text/doc_1219460432_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1222943281,000014,沙河股份,2024年年度报告,data/pdf/沙河股份_2024_1222943281.pdf,data/parsed/pdf_text/doc_1222943281_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1209464144,000031,大悦城,2020年年度报告,data/pdf/大悦城_2020_1209464144.pdf,data/parsed/pdf_text/doc_1209464144_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1212886659,000031,大悦城,2021年年度报告,data/pdf/大悦城_2021_1212886659.pdf,data/parsed/pdf_text/doc_1212886659_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1216587088,000031,大悦城,2022年年度报告,data/pdf/大悦城_2022_1216587088.pdf,data/parsed/pdf_text/doc_1216587088_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1219863705,000031,大悦城,2023年年度报告,data/pdf/大悦城_2023_1219863705.pdf,data/parsed/pdf_text/doc_1219863705_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1223153545,000031,大悦城,2024年年度报告,data/pdf/大悦城_2024_1223153545.pdf,data/parsed/pdf_text/doc_1223153545_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1209676546,000042,中洲控股,2020年年度报告,data/pdf/中洲控股_2020_1209676546.pdf,data/parsed/pdf_text/doc_1209676546_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1212898226,000042,中洲控股,2021年年度报告,data/pdf/中洲控股_2021_1212898226.pdf,data/parsed/pdf_text/doc_1212898226_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1216380219,000042,中洲控股,2022年年度报告,data/pdf/中洲控股_2022_1216380219.pdf,data/parsed/pdf_text/doc_1216380219_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1219769062,000042,中洲控股,2023年年度报告,data/pdf/中洲控股_2023_1219769062.pdf,data/parsed/pdf_text/doc_1219769062_pdf_text.md,pypdf_text_fallback,True,False,False,True,True,approximate,no
1223544393,000042,中洲控股,2024年年度报告（更新后）,data/pdf/中洲控股_2024_1223544393.pdf,data/parsed/pdf_text/doc_1223544393_pdf_text.md,pypdf_text_fallback,True,False,False,True,True,approximate,no
