doc_id,stock_code,stock_name,report_year,has_cash_dividend,cash_dividend_per_10_shares,parent_net_profit_cny,operating_cash_flow_cny,ocf_to_profit_ratio,dividend_pressure_score,profit_pressure_score,cashflow_pressure_score,liquidity_term_hits,liquidity_weighted_hits,liquidity_risk_score,liquidity_risk_quantile,legacy_liquidity_risk_label,base_attention_score,cross_year_pressure_score,cross_year_pressure_level,cross_year_reason,attention_score,attention_level,review_reason
1216273938,000002,万科A,2022,True,6.8,22617778516.45,2750449478.44,0.1216,100.0,10.0,70.0,43,95.5,100.0,high,high,74.5,0.0,none,,74.5,watch,cash dividend while operating cash flow is weak or negative; liquidity-risk term frequency is high
1219583682,600639,浦东金桥,2023,True,5.7,1818789939.0,-6702977654.4,,100.0,10.0,100.0,0,0.0,0.0,none,unknown,57.0,60.0,medium,dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow,69.0,watch,cash dividend while operating cash flow is weak or negative; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow
1219493208,600683,京投发展,2023,,,-659234610.5,-4325766372.9,,15.0,100.0,100.0,16,34.5,36.13,high,high,58.53,45.0,medium,cross-year base attention score rises; profit turns or remains negative,67.53,watch,net profit is negative; cross-year base attention score rises; profit turns or remains negative; dividend field is missing
1219915446,600533,栖霞建设,2023,,,-134388981.92,-1059824502.61,,15.0,100.0,100.0,8,16.0,16.75,medium,medium,53.69,45.0,medium,cross-year base attention score rises; profit turns or remains negative,62.69,watch,net profit is negative; cross-year base attention score rises; profit turns or remains negative; dividend field is missing
1216402029,600639,浦东金桥,2022,True,5.0,1583573935.75,-2531546279.34,,100.0,10.0,100.0,4,10.5,10.99,medium,medium,59.75,0.0,none,,59.75,watch,cash dividend while operating cash flow is weak or negative
1219596576,600848,上海临港,2023,True,2.0,1060637822.65,-5556624006.2,,40.0,10.0,100.0,10,20.0,20.94,high,low,44.24,70.0,high,cross-year liquidity-risk score rises; cross-year base attention score rises; current-year dividend with negative operating cash flow,58.24,watch,cash dividend while operating cash flow is weak or negative; cross-year liquidity-risk score rises; cross-year base attention score rises; current-year dividend with negative operating cash flow
1219445524,000965,天保基建,2023,True,0.2,20036525.31,-1244352050.69,,4.0,60.0,100.0,6,11.0,11.52,medium,low,41.08,70.0,high,cross-year base attention score rises; current-year dividend with negative operating cash flow; profit declines while dividend remains,55.08,watch,cash dividend while operating cash flow is weak or negative; cross-year base attention score rises; current-year dividend with negative operating cash flow; profit declines while dividend remains
